07.07.2017 14:02:50;Илья;Невдашенко;Максимович(-вна);Речица;Беларусь
07.07.2017 14:02:50;Федор;Прокопенко;Петрович(-вна);Москва;Россия
07.07.2017 14:02:50;Игорь;Невдашенко;Максимович(-вна);Минск;Беларусь
07.07.2017 14:02:50;Антон;Прохоренко;Андреевич(-вна);Минск;Беларусь
07.07.2017 14:02:50;Антон;Сидоренко;Андреевич(-вна);Речица;Беларусь
07.07.2017 14:02:50;Федор;Астапенко;Андреевич(-вна);Гомель;Беларусь
07.07.2017 14:02:50;Илья;Прокопенко;Максимович(-вна);Минск;Беларусь
07.07.2017 14:02:50;Антон;Невдашенко;Максимович(-вна);Речица;Беларусь
07.07.2017 14:02:50;Федор;Сидоренко;Петрович(-вна);Москва;Россия
07.07.2017 14:02:50;Игорь;Прохоренко;Денисович(-вна);Питерберг;Россия
07.07.2017 14:02:50;Анна;Прохоренко;Денисович(-вна);Москва;Россия
07.07.2017 14:02:50;Игорь;Прохоренко;Максимович(-вна);Речица;Беларусь
07.07.2017 14:02:50;Федор;Астапенко;Петрович(-вна);Минск;Беларусь
07.07.2017 14:02:50;Антон;Астапенко;Петрович(-вна);Гомель;Беларусь
07.07.2017 14:02:50;Илья;Невдашенко;Денисович(-вна);Гомель;Беларусь
07.07.2017 14:02:51;Илья;Сидоренко;Андреевич(-вна);Питерберг;Россия
07.07.2017 14:02:51;Анна;Сидоренко;Петрович(-вна);Гомель;Беларусь
07.07.2017 14:02:51;Илья;Прохоренко;Максимович(-вна);Минск;Беларусь
07.07.2017 14:02:51;Антон;Сидоренко;Евгеньевич(-вна);Гомель;Беларусь
07.07.2017 14:02:51;Илья;Астапенко;Евгеньевич(-вна);Питерберг;Россия
07.07.2017 14:02:51;Анна;Астапенко;Максимович(-вна);Питерберг;Россия
07.07.2017 14:02:51;Анна;Невдашенко;Андреевич(-вна);Гомель;Беларусь
07.07.2017 14:02:51;Илья;Сидоренко;Евгеньевич(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Сидоренко;Андреевич(-вна);Гомель;Беларусь
07.07.2017 14:02:51;Илья;Невдашенко;Максимович(-вна);Москва;Россия
07.07.2017 14:02:51;Игорь;Сидоренко;Евгеньевич(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Прохоренко;Максимович(-вна);Питерберг;Россия
07.07.2017 14:02:51;Анна;Прокопенко;Денисович(-вна);Минск;Беларусь
07.07.2017 14:02:51;Антон;Невдашенко;Денисович(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Прокопенко;Андреевич(-вна);Минск;Беларусь
07.07.2017 14:02:51;Антон;Невдашенко;Максимович(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Сидоренко;Евгеньевич(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Прохоренко;Андреевич(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Прохоренко;Евгеньевич(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Невдашенко;Петрович(-вна);Речица;Беларусь
07.07.2017 14:02:51;Федор;Невдашенко;Денисович(-вна);Питерберг;Россия
